Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
223,4,Sep 20 2014,7:00 PM,Sat,Arkansas State,21,,Utah State,14,ESPN3.com,,
224,4,Sep 20 2014,10:40 PM,Sat,Boise State,34,,Louisiana-Lafayette,9,CBSSN,,
225,4,Sep 20 2014,1:00 PM,Sat,Boston College,40,,Maine,10,ESPN3.com,,
226,4,Sep 20 2014,3:30 PM,Sat,(21) Brigham Young,41,,Virginia,33,ESPN,,
227,4,Sep 20 2014,3:30 PM,Sat,Buffalo,36,,Norfolk State,7,ESPN3.com,,
228,4,Sep 20 2014,6:00 PM,Sat,Central Florida,41,,Bethune-Cookman,7,ESPN3.com,,
229,4,Sep 20 2014,7:00 PM,Sat,Cincinnati,31,,Miami (OH),24,CBSSN,Paul Brown Stadium - Cincinnati OH,
230,4,Sep 20 2014,2:00 PM,Sat,Colorado,21,,Hawaii,12,Pac-12 Network,,
231,4,Sep 20 2014,12:30 PM,Sat,Duke,47,,Tulane,13,RSN MSG ROOT-PIT STO,,
232,4,Sep 20 2014,3:30 PM,Sat,East Carolina,70,,North Carolina,41,ESPN U,,
233,4,Sep 20 2014,8:25 PM,Sat,(1) Florida State,23,,(22) Clemson,17,ABC,,
234,4,Sep 20 2014,10:00 PM,Sat,Fresno State,56,,Southern Utah,16,Mountain West Network,,
235,4,Sep 20 2014,12:00 PM,Sat,(13) Georgia,66,,Troy,0,SEC Network,,
236,4,Sep 20 2014,7:30 PM,Sat,Georgia Southern,28,@,South Alabama,6,ESPN3.com,,
237,4,Sep 20 2014,12:00 PM,Sat,Georgia Tech,27,@,Virginia Tech,24,ESPN,,
238,4,Sep 20 2014,8:00 PM,Sat,Houston,47,,Nevada-Las Vegas,14,ESPN3.com,,
239,4,Sep 20 2014,4:00 PM,Sat,Illinois,42,,Texas State,35,ESPNews,,
240,4,Sep 20 2014,4:00 PM,Sat,Indiana,31,@,(18) Missouri,27,SEC Network,,
